method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed
TABM_GPU (default),1283.2,55.9,52.1,23.705882352941178,0.5795207,0.13210936352539165,0.041374894207007934,0.03316042791824268,0.06348406673541951,0.0,0.0,1.0,50.0,142.54126416468154,1.0708042359819598,23.88140219729834,0.4005178443372889,0.7385485061499133,0.7385485061499133,0.0,22.0,0.07146826720017774,0.09585493695990846,0.2124024789890273,38.16493201255798,0.17726969718933105,11.555005609392405,0.12732556548192603,0.8310185185185135,0.8310185185185135,0.0
TABICL_GPU (default),1282.9,63.8,52.7,23.725490196078432,0.5791576,0.12270239698998651,0.03372080193578157,0.03058998545091096,0.12571955860865094,3.0,0.0,2.0,46.0,89.99167278701184,15.994201370314055,7.671787946091385,1.7323065455173496,0.7124674157078925,0.7124674157078925,0.29411764705882354,24.0,0.07200067617043104,0.09459459459459367,0.2089949379627024,19.30116367340088,1.4308764934539795,6.856698312130071,1.5204305848178132,0.828232629824176,0.828232629824176,0.0
TABDPT_GPU (default),1282.4,77.3,71.1,23.754901960784313,0.578613,0.12680228603490176,0.036395606840200045,0.03619373031192902,0.11675068618312597,1.0,3.0,3.0,44.0,583.167813721825,268.76904352506,46.98656419380169,42.037716967875504,0.6874610301577219,0.6874610301577219,0.0,23.0,0.06533900201387388,0.07785626535626665,0.2109085410496047,262.5377552509308,105.11247444152832,45.41610881339672,39.40592122975093,0.9010749240998254,0.9010749240998254,0.0
TABPFNV2_GPU (tuned),1270.6,69.5,61.8,24.480392156862745,0.565178,0.12826926782348105,0.03429133243089977,0.02674226227916328,0.10280591842395449,0.0,2.0,4.0,45.0,9280.937638614692,4.082395156224568,2836.0220285499013,1.9953713679087344,0.7185151667641327,0.7185151667641327,0.35294117647058826,27.0,0.10146760738857363,0.1065645129907392,0.22794871794871796,1926.0209152698517,0.3721911907196045,2942.0790635597914,0.2619314172957417,0.9893446379468357,0.9893446379468357,0.0
EBM (tuned + ensemble),1269.2,53.9,56.5,24.568627450980394,0.563544,0.14076484389882338,0.051838700099492735,0.04067702045861217,0.07267878698732029,0.0,1.0,1.0,49.0,76529.20859935237,7.871404241113102,17761.759975442415,2.9944859287437438,0.7767073516529736,0.7767073516529736,0.0,25.0,0.09341798631117271,0.08653048927213818,0.21296720061022123,6080.476230382919,1.1401057243347168,2961.52382403554,0.48195924824985564,0.9418604651162775,0.9418604651162775,0.0
NN_TORCH (tuned + ensemble),1256.2,47.8,51.7,25.372549019607842,0.5486566,0.12981904932905936,0.04374150731388729,0.030946357947512285,0.052077700402230004,0.0,0.0,0.0,51.0,29357.971773493522,13.246924213334626,3694.4132392234865,3.45030206949641,0.8042759109021843,0.8042759109021843,0.0,26.0,0.07922111196515602,0.08963592576852301,0.2137517707311758,10620.000384569168,3.6842262744903564,2832.7960851387297,1.800873875617981,0.9142212189616269,0.9142212189616269,0.0
REALMLP_GPU (default),1254.6,45.4,51.4,25.470588235294116,0.54684097,0.13351398972496728,0.041585866704415275,0.02956347855594424,0.056361006747966756,0.0,0.0,1.0,50.0,102.1361764272054,4.232743627884808,14.836915666688704,4.0822998058517035,0.8030735594970567,0.8030735594970567,0.0,26.0,0.092622380728687,0.10218504439564378,0.2103846153846154,50.43063545227051,3.636448621749878,10.441442986198293,1.714346009462618,0.9409722222222144,0.9409722222222144,0.0
TABPFNV2_GPU (default),1229.5,71.6,78.8,27.029411764705884,0.51797384,0.13754190762762067,0.05150479590769633,0.03485762538405711,0.1179323521740238,2.0,2.0,1.0,46.0,12.262318129632988,0.840339740117391,4.40142189361026,0.44785573341984464,0.7528967473784804,0.7528967473784804,0.35294117647058826,29.0,0.09249139797907857,0.14829271200377578,0.22782051282051285,9.203422546386719,0.3870081901550293,3.265341403173851,0.3151157987035174,1.0,1.0,0.0
EBM (tuned),1221.7,58.2,57.8,27.50980392156863,0.50907767,0.14996695461291673,0.05504831924993492,0.03925320544716858,0.07198392095531463,1.0,1.0,0.0,49.0,76529.20859935237,0.6373502880919213,17761.759975442415,0.21402027182000197,0.8208237786967549,0.8208237786967549,0.0,27.0,0.1083360017077597,0.11182005967408833,0.21322872398387271,6080.476230382919,0.0855252742767334,2961.52382403554,0.04776660352945328,0.9902481413536748,0.9902481413536748,0.0
MNCA_GPU (default),1216.2,64.2,46.3,27.852941176470587,0.5027234,0.1598195810090776,0.0413406165139997,0.03948852583144226,0.06669644274855821,1.0,0.0,1.0,49.0,245.15467273020278,8.083605813045128,18.524091854412294,1.1280259623754931,0.8227826465086161,0.8227826465086161,0.0,27.0,0.09451158359241763,0.11210546290978016,0.2129734180930276,40.294944524765015,0.5322227478027344,13.739717303881024,0.31576028319217697,0.9946579900336371,0.9946579900336371,0.0
XT (tuned + ensemble),1203.6,52.9,53.1,28.627450980392158,0.4883806,0.16215457207936457,0.047184604256489154,0.043026568543064095,0.04799143508158031,0.0,0.0,0.5,50.5,1293.0170739772273,3.137296905704573,465.97356682221573,1.4220614441065493,0.8552593090466099,0.8552593090466099,0.0,30.0,0.11160719776637973,0.11270718232044274,0.21291502158000764,775.4602122306824,2.0695900917053223,191.43562446750065,0.7604422990939085,1.0,1.0,0.0
EBM (default),1196.2,53.9,51.5,29.07843137254902,0.48002905,0.16020702875449275,0.05581838554752158,0.045726976210620426,0.0632961029894641,1.0,0.0,0.0,50.0,247.07653387387595,0.5240149170744652,44.48862354540209,0.19620164902987697,0.8382816543650687,0.8382816543650687,0.0,30.0,0.1031275217436105,0.10960919673309469,0.21025754487592074,18.691654443740845,0.10439348220825195,7.664234146436885,0.045715724134279045,1.0,1.0,0.0
XGB (default),1191.8,56.0,50.8,29.352941176470587,0.47494557,0.14829423741520317,0.038912008686862454,0.03549035247071858,0.060758012383501966,1.0,0.0,0.0,50.0,13.003299437317194,0.6573358236574659,3.2763217873435058,0.3062962827156932,0.8532318052244074,0.8532318052244074,0.0,30.0,0.10496504206125268,0.11494775505735161,0.21745863756596343,6.575343370437622,0.39388179779052734,2.0589472404367264,0.12183857766160212,1.0,1.0,0.0
NN_TORCH (tuned),1190.1,46.6,62.9,29.45098039215686,0.47313005,0.1490071861073121,0.045448092129692336,0.03687725950097895,0.044402255005530335,0.0,0.0,0.0,51.0,29357.971773493522,0.60710202478895,3694.4132392234865,0.18506171262100615,0.8494154911639035,0.8494154911639035,0.0,29.0,0.10263713201346492,0.09511262218444483,0.21109146565727777,10620.000384569168,0.22349023818969727,2832.7960851387297,0.11152923107147217,1.0,1.0,0.0
FASTAI (tuned + ensemble),1170.6,61.3,66.1,30.637254901960784,0.45116195,0.1696898902075133,0.05336305255924792,0.040135187584371124,0.0500807354383475,0.0,0.0,0.0,51.0,6591.795950641819,16.245619264303468,1342.3410902155488,7.489539632560419,0.8669175331849701,0.8669175331849701,0.0,33.0,0.10614821953690656,0.13367467884871168,0.22664938543111787,3142.961499929428,10.290910243988037,594.9528585230638,4.650812904660155,1.0,1.0,0.0
XT (tuned),1167.4,63.5,63.7,30.833333333333332,0.4475309,0.17175148969973222,0.052882946947388154,0.04763433405737398,0.05443517109299359,0.0,1.0,0.5,49.5,1293.0170739772273,0.34508594344643984,465.97356682221573,0.17473237760756105,0.863143120541928,0.863143120541928,0.0,35.0,0.13327973504847823,0.14267119767289052,0.21280635530528258,775.4602122306824,0.17961668968200684,191.43562446750065,0.10098353169828128,1.0,1.0,0.0
RF (tuned + ensemble),1165.6,54.7,64.7,30.941176470588236,0.44553375,0.16896361722936418,0.04529706134501654,0.04324998377914496,0.0511940332222459,0.0,1.0,0.0,50.0,2227.1437476008546,2.46178646181144,528.9202336737816,1.2212931064922863,0.8964568353725118,0.8964568353725118,0.0,34.0,0.09362311041534055,0.14500110350915968,0.2165086629617522,876.37784075737,1.7210140228271484,377.08301133934634,0.7469802601991967,1.0,1.0,0.0
GBM (default),1154.9,53.0,48.4,31.57843137254902,0.43373275,0.15771731043185533,0.04391623263982619,0.0340317293041813,0.037074308144893715,0.0,0.0,0.0,51.0,9.322186521455354,1.1440442029167623,3.199181885596564,0.3147197775938453,0.8912492038868353,0.8912492038868353,0.0,32.0,0.11578817438857247,0.13076849116405315,0.21882938874249858,6.97411584854126,0.6232860088348389,2.2021467310523017,0.17114277689525664,1.0,1.0,0.0
